地名,センター（center.csvを使わない場合は空白化）,燃えるごみ,燃えないごみ,資源ごみ,プラ
赤井町,,月 木,木1,日1,火2 火4
五間堂町,,月 木,木1,日1,火2 火4
中庄町,,月 木,木1,日1,火2 火4
西任田町,,月 木,木1,日1,火2 火4
福岡町,,月 木,木1,日1,火2 火4
西二口町,,月 木,金1,日1,火2 火4
中ノ江町,,月 木,金1,日1,火2 火4
大成町,,月 木,木2,土2,火2 火4
福島町,,火 金,金2,土2,水2 水4
吉原町,,火 金,金2,日1,水2 水4
吉原釜屋町,,火 金,土3,日1,水2 水4
大浜町,,火 金,木3,土2,水2 水4
中町,,火 金,金3,土2,水2 水4
高坂,,水 土,金1,土2,月2 月4
根上町,,水 土,金1,土2,月2 月4
下ノ江町,,水 土,土1,土2,月2 月4
浜開発町,,水 土,土1,日1,月2 月4
浜町,,水 土,金3,日1,月2 月4
道林町,,水 土,土3,日1,月2 月4
山口町,,水 土,土3,日1,月2 月4
横町,,火 金,土4,木1,水1 水3
駅前,,火 金,土4,木1,水1 水3
山道,,月 木,水4,木1,水1 水3
中町,,月 木,水4,木1,水1 水3
北町,,月 木,水4,木1,水1 水3
十軒町,,月 木,水4,木1,水1 水3
旭町,,月 木,土2,木1,水1 水3
九谷町,,月 木,土2,木1,水1 水3
緑町,,月 木,土2,木1,水1 水3
小長野町,,火 金,水1,木3,水2 水4
大長野町,,火 金,水1,木3,水2 水4
小杉町,,火 金,水1,木3,水2 水4
末信町,,火 金,土1,木3,水2 水4
牛島町,,火 金,土1,木3,水2 水4
佐野町,,火 金,水2,木4,水1 水3
泉台町,,火 金,水2,木4,水1 水3
湯谷町,,火 金,土3,木4,水1 水3
石子町,,火 金,土3,木4,水1 水3
秋常町,,月 木,水3,木2,水2 水4
新保町,,月 木,水3,木2,水2 水4
粟生町,,月 木,水3,木2,水2 水4
末寺町,,月 木,土4,木2,水2 水4
三道山町,,月 木,土4,木2,水2 水4
吉光町,,月 木,土4,木2,水2 水4
東任田町,,月 木,土4,木2,水2 水4
和佐谷町,,月 木,水2,木2,木1 木3
岩本町,,月 木,水2,木2,木1 木3
灯台笹町,,月 木,水2,木2,木1 木3
大口町,,月 木,水2,木2,木1 木3
旭台(職員宿舎),,月 木,水2,木2,木1 木3
宮竹町,,月 木,水2,木2,木1 木3
三ツ口町,,月 木,水2,木2,木1 木3
長滝町,,月 木,水2,木2,木1 木3
莇生町,,月 木,水2,木2,木1 木3
岩内町,,月 木,水2,木2,木1 木3
火釜町,,火 金,水4,木3,木2 木4
来丸町,,火 金,水4,木3,木2 木4
山田町,,火 金,水4,木3,木2 木4
三ツ屋町,,火 金,水4,木3,木2 木4
倉重町,,火 金,水4,木3,木2 木4
出口町,,火 金,水4,木3,木2 木4
辰口町,,火 金,水4,木3,木2 木4
湯屋町,,火 金,水4,木3,木2 木4
上徳山町,,火 金,水4,木3,木2 木4
下徳山町,,火 金,水4,木3,木2 木4
上開発町,,火 金,水1,木3,木2 木4
下開発町,,火 金,水1,木3,木2 木4
徳久町,,火 金,水1,木3,木2 木4
荒屋町,,火 金,水1,木3,木2 木4
高座町,,火 金,水1,木3,木2 木4
北市町,,火 金,水1,木3,木2 木4
上清水町,,火 金,水1,木3,木2 木4
下清水町,,火 金,水1,木3,木2 木4
和気町,,火 金,水3,木1,木1 木3
寺畠町,,火 金,水3,木1,木1 木3
舘町,,火 金,水3,木1,木1 木3
金剛寺町,,火 金,水3,木1,木1 木3
坪野町,,火 金,水3,木1,木1 木3
鍋谷町,,火 金,水3,木1,木1 木3
仏大寺町,,火 金,水3,木1,木1 木3
和光台,,火 金,水3,木1,木1 木3
緑が丘,,水 土,金4,木1,木2 木4
松が岡,,水 土,金2,木1,木2 木4
松が岡5丁目133の3～21、177～,,火 金,水3,木1,木2 木4
